Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"209328000","0","3283","26.9"
"209538000","0","3283","26.9"
"209747000","0","3283","26.9"
"209957000","0","3283","27.2"
"210365000","0","3283","27.2"
"210633000","0","3283","27.2"
"210842000","0","3283","27.2"
"211051000","0","3283","27.2"
"211262000","0","3283","27.2"
"211669000","0","3283","27.2"
"211936000","0","3283","27.2"
"212146000","0","3283","27.5"
"212355000","0","3283","27.5"
"212566000","0","3283","27.5"
"212974000","0","3283","27.5"
"213242000","0","3283","27.5"
"213452000","0","3283","27.5"
"213662000","0","3283","27.5"
"213872000","0","3283","27.5"
"214279000","0","3283","27.5"
"214547000","0","3283","27.8"
"214758000","0","3283","27.8"
"214968000","0","3283","27.8"
"215178000","0","3283","27.8"
"215586000","0","3283","27.8"
"215854000","0","3283","27.8"
"216064000","0","3283","27.8"
"216275000","0","3283","27.8"
"216484000","0","3283","27.8"
"216892000","0","3283","28.0"
"217165000","0","3283","28.0"
"217375000","0","3283","28.0"
"217585000","0","3283","28.0"
"217796000","0","3283","28.0"
"218203000","0","3283","28.0"
"218471000","0","3283","28.0"
"218681000","0","3283","28.0"
"218891000","0","3283","28.0"
"219106000","0","3283","28.3"
"219513000","0","3283","28.3"
"219781000","0","3283","28.3"
"219992000","0","3283","28.3"
"220201000","0","3283","28.3"
"220412000","0","3283","28.3"
"220819000","0","3283","28.3"
"221087000","0","3283","28.3"
"221297000","0","3283","28.6"
"221507000","0","3283","28.6"
"221717000","0","3283","28.6"
"222125000","0","3283","28.6"
"222393000","0","3283","28.6"
"222603000","0","3283","28.6"
"222813000","0","3283","28.6"
"223023000","0","3283","28.6"
"223431000","0","3283","28.6"
"223697000","0","3283","28.9"
"223908000","0","3283","28.9"
"224117000","0","3283","28.9"
"224327000","0","3283","28.9"
"224735000","0","3283","28.9"
"225002000","0","3283","28.9"
"225212000","0","3283","28.9"
"225422000","0","3283","28.9"
"225632000","0","3283","28.9"
"226039000","0","3283","29.2"
"226307000","0","3283","29.2"
"226517000","0","3283","29.2"
"226727000","0","3283","29.2"
"226937000","0","3283","29.2"
"227350000","0","3283","29.2"
